job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
admin,single,university.degree,no,no,no,telephone,jun,wed,nonexistent,no
services,married,high.school,no,yes,no,telephone,jun,wed,nonexistent,no
blue-collar,single,basic,no,no,no,telephone,jun,wed,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,wed,nonexistent,no
admin,single,university.degree,no,no,yes,telephone,jun,wed,nonexistent,no
admin,married,university.degree,unknown,yes,no,telephone,jun,wed,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,wed,nonexistent,no
blue-collar,divorced,basic,unknown,no,no,telephone,jun,wed,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,wed,nonexistent,no
admin,single,high.school,unknown,yes,no,telephone,jun,wed,nonexistent,no
blue-collar,divorced,basic,no,no,no,telephone,jun,wed,nonexistent,no
blue-collar,divorced,basic,no,yes,no,telephone,jun,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,wed,nonexistent,no
management,single,unknown,no,unknown,unknown,telephone,jun,wed,nonexistent,no
unknown,married,high.school,unknown,no,no,telephone,jun,wed,nonexistent,no
self-employed,single,university.degree,no,no,no,telephone,jun,wed,nonexistent,no
entrepreneur,married,high.school,unknown,no,no,telephone,jun,wed,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,high.school,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
housemaid,divorced,unknown,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,divorced,basic,no,yes,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
student,single,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
retired,divorced,high.school,no,no,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,unknown,no,yes,no,telephone,jun,thu,nonexistent,no
management,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
services,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
student,single,basic,no,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,university.degree,unknown,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,yes
admin,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
admin,single,high.school,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
student,single,university.degree,no,no,yes,telephone,jun,thu,nonexistent,no
retired,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
admin,single,basic,no,no,no,telephone,jun,thu,nonexistent,no
technician,single,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,professional.course,unknown,yes,no,telephone,jun,thu,nonexistent,no
admin,divorced,professional.course,no,yes,yes,telephone,jun,thu,nonexistent,no
technician,divorced,professional.course,unknown,no,no,telephone,jun,thu,nonexistent,yes
technician,divorced,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,professional.course,unknown,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,divorced,basic,unknown,unknown,unknown,telephone,jun,thu,nonexistent,no
entrepreneur,married,unknown,unknown,no,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,high.school,no,no,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,yes
technician,married,unknown,no,no,no,telephone,jun,thu,nonexistent,no
services,married,high.school,unknown,yes,no,telephone,jun,thu,nonexistent,no
admin,single,basic,no,no,no,telephone,jun,thu,nonexistent,no
management,single,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
self-employed,married,professional.course,no,no,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
housemaid,single,unknown,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
services,divorced,basic,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,high.school,unknown,no,no,telephone,jun,thu,nonexistent,no
technician,divorced,unknown,no,no,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
services,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
admin,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
management,single,university.degree,no,no,no,telephone,jun,thu,nonexistent,yes
technician,married,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
services,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,divorced,basic,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,yes,yes,telephone,jun,thu,nonexistent,no
services,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
services,divorced,high.school,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,university.degree,unknown,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,divorced,unknown,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,basic,no,yes,yes,telephone,jun,thu,nonexistent,no
technician,divorced,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
self-employed,married,unknown,unknown,yes,yes,telephone,jun,thu,nonexistent,no
technician,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,unknown,no,no,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
housemaid,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
technician,single,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
services,married,high.school,unknown,no,no,telephone,jun,thu,nonexistent,no
